Company,Title,Price,Volume,High,Low
Eastman Chemical,EMN,105.58,"4,721,237",106.70,103.59
Eastman Kodak,KODK,5.35,"2,602,982",5.35,4.65
Eastman Kodak Wt 125%,KODK.WS,.21,"15,189",.22,.15
Eastman Kodak Wt,KODK.WS.A,.20,"18,580",.20,.11
Eaton Corp. PLC,ETN,79.91,"13,523,026",81.60,78.57
Eaton Vance,EV,55.67,"1,873,120",55.94,54.00
Eaton Vance Eqty Inco Fd,EOI,13.96,"408,760",14.11,13.69
Eaton Vance Eqty Inco II,EOS,15.76,"523,182",16.25,15.50
Eaton Vance FR Incm Plus,EFF,16.70,"387,213",17.13,16.27
Eaton Vance FR Incm Tr,EFT,14.95,"449,768",14.99,14.78
Eaton Vance FR 2022,EFL,9.32,"668,680",9.41,9.22
Eaton Vance Hi Incm 2021,EHT,9.88,"163,953",9.99,9.86
Eaton Vance Mun Income,EVN,11.71,"384,762",11.72,11.38
Eaton Vance Mun Incm 2028,ETX,18.95,"127,234",19.16,18.88
EV National Municipal Opp,EOT,20.67,"136,716",20.85,20.58
EtnVncRskMngd,ETJ,8.99,"979,350",9.05,8.88
EatonVnc SrFltRate,EFR,14.78,"524,495",14.82,14.60
Eaton Vance Sr Incm Tr,EVF,6.81,"1,634,984",6.82,6.58
Etn Vnc Short Dur Fd,EVG,13.64,"135,153",13.65,13.32
Etn Vn TaxAdv Bd&Opt; Strg,EXD,9.60,"112,972",9.69,9.34
EtnVnc TaxAdvDiv,EVT,21.90,"576,766",22.01,21.59
EtnVncTxAdvGblDiv,ETG,16.71,"785,621",16.87,16.43
EatonVance TxAdv Opport,ETO,25.01,"273,153",25.45,24.88
Etn Vnc Tax Mgd Buy-Write,ETB,15.59,"369,345",16.05,15.55
Eaton Vance BuyWrite Opp,ETV,14.89,"1,198,307",15.23,14.76
Eaton Vance Tax-Mng Div,ETY,11.57,"1,361,693",11.69,11.35
Eaton Vance Tax-Mngd Opp,ETW,11.55,"1,218,433",11.68,11.39
EtnVncTxMngGlDvEqInc,EXG,9.12,"2,706,305",9.13,8.85
ECA Marcellus Trust I,ECT,1.73,"271,681",2.05,1.71
Eclipse Resources,ECR,1.44,"4,313,325",1.47,1.25
Ecolab,ECL,137.07,"5,708,731",137.93,132.62
EcoLogical Strategy ETF,HECO,40.97,"1,932",41.05,40.30
Ecopetrol ADR,EC,19.33,"6,286,689",20.29,18.50
Edgewell Personal Care,EPC,48.82,"2,565,380",49.33,46.33
Edison Intl,EIX,63.66,"9,925,030",63.78,61.47
Education Realty Trust,EDR,32.75,"1,635,848",33.09,30.76
Edwards Lifesciences,EW,139.52,"5,333,280",142.35,135.87
eHi Car Services ADR,EHIC,12.45,"401,416",12.81,12.00
8X8,EGHT,18.65,"2,212,847",19.80,18.10
Eldorado Gold,EGO,.84,"51,177,436",.93,.80
DJ High Yield Sel 10 TR,DOD,21.54,"23,380",21.92,21.40
Mstar Wide Moat Focus,WMW,28.82,"2,346",29.05,28.74
ELEMENTS Rogers Agri,RJA,6.18,"301,867",6.19,6.09
ELEMENTS Rogers Energy,RJN,2.94,"7,206",2.95,2.91
ELEMENTS Rogers Metals,RJZ,8.53,"1,284",8.63,8.53
ELEMENTS Rogers Tr,RJI,5.52,"1,003,059",5.53,5.45
AB Sv Exp Biofuels,FUE,7.00,"2,501",...,...
ElemntsMLCX Grain,GRU,3.55,"3,118",3.60,3.53
Elevate Credit,ELVT,7.08,"306,422",7.21,6.64
e.l.f. Beauty,ELF,19.37,"1,140,902",19.64,18.50
ELLIE MAE,ELLI,91.94,"1,703,669",94.12,89.90
Ellington Financial,EFC,14.81,"160,556",14.91,14.55
Ellington Residential Mtg,EARN,10.96,"750,709",11.40,10.84
El Paso Electric,EE,51.00,"1,180,110",51.25,48.80
El Paso Engy Cp Tr I pfd.,EP.PC,47.25,"8,201",47.25,46.51
Embotell Andina A ADR,AKO.A,25.50,"11,347",25.50,25.50
Embotell Andina B ADR,AKO.B,29.24,"30,336",29.77,28.58
Embraer ADR,ERJ,26.00,"3,479,677",26.23,25.18
EMCOR Group,EME,77.93,"1,204,085",78.69,75.17
Emerald Expositions,EEX,19.48,"667,346",20.08,18.60
Emerge Energy Services,EMES,6.15,"1,373,442",6.77,5.93
Emergent Biosoltns,EBS,52.65,"1,878,211",54.47,51.55
Emerson Electric,EMR,68.30,"10,681,311",69.89,66.95
Empire State Realty 250,FISK,16.66,"3,595",16.75,16.31
Empire State Realty 60,OGCP,16.60,"14,697",16.70,15.28
Empire State Realty ES,ESBA,16.77,"45,184",16.98,16.29
Empire State Realty Trust,ESRT,16.79,"4,577,435",16.96,16.34
Employers Holdings,EIG,40.45,"592,926",40.90,39.45
Empresa Distribuidora ADR,EDN,57.53,"77,998",58.76,54.52
Emerg Mkt Internet&Ecom;,EMQQ,39.47,"749,376",40.99,38.46
Enable Midstream Ptrs,ENBL,13.72,"1,339,341",13.90,13.05
EnbridgeEnergy,EEQ,9.14,"3,230,132",9.21,8.65
Enbridge Energy Ptrs Cl A,EEP,9.64,"8,657,872",9.69,9.05
Enbridge,ENB,31.47,"16,197,903",31.51,29.54
Encana,ECA,11.00,"41,704,731",11.86,10.49
Encompass Health,EHC,57.17,"2,220,662",57.90,55.55
Endeavour Silver,EXK,2.43,"4,480,012",2.55,2.32
Enduro Royalty Trust,NDRO,3.55,"125,610",3.60,3.45
Enel Americas ADR,ENIA,11.62,"3,888,062",11.68,11.13
Enel Chile ADR,ENIC,6.40,"1,702,955",6.55,6.15
Enel Generacion Chile ADR,EOCC,23.79,"1,694,469",27.25,23.60
Energen Corp,EGN,62.86,"7,446,083",63.29,57.55
Energizer Holdings,ENR,59.58,"4,642,295",64.00,51.10
Energy Select Sector SPDR,XLE,67.41,"61,877,002",68.54,65.91
Energy Transfer Equity,ETE,14.21,"17,859,452",14.59,14.02
Energy Transfer Partners,ETP,16.22,"30,091,979",16.48,15.50
Enerplus,ERF,11.26,"3,153,416",11.71,10.93
EnerSys,ENS,69.37,"871,885",70.25,66.74
Engility Holdings,EGL,24.40,"534,617",25.20,24.04
ENI ADR,E,35.33,"857,685",35.45,34.70
EnLink Midstream,ENLC,14.65,"1,734,763",14.75,14.05
EnLink Midstream Partners,ENLK,13.66,"4,020,225",13.84,12.75
Ennis,EBF,19.70,"316,229",20.15,19.50
Enova International,ENVA,22.05,"887,931",22.45,21.75
EnPro,NPO,77.38,"685,686",78.42,75.21
ENSCO PLC,ESV,4.39,"46,942,813",4.85,4.35
Entercom Commun,ETM,9.65,"6,354,372",9.90,9.30
Entergy Arkansas Bds,EAE,24.25,"16,091",24.36,24.25
Entergy Fst Mortgage 4.90,EAB,24.35,"15,854",24.39,24.26
Entergy,ETR,78.78,"4,227,927",80.11,77.30
Entergy 1st Mtg Bds 4.875,EAI,24.11,"61,056",24.37,24.10
EntergyLouisianaMort5.25%,ELJ,25.00,"30,728",25.31,25.00
Entergy Louisiana Bds 63,ELU,23.86,"18,708",24.26,23.80
Entergy LA Mtg Bds 4.875%,ELC,24.10,"82,062",24.41,24.10
Entergy Mississippi Bds,EMP,24.48,"47,833",24.92,24.35
Entergy NOLA 5.0% 2052,ENJ,24.68,"6,770",24.68,24.50
Entergy New Orl 5.5% Bds,ENO,25.25,"32,105",25.95,25.06
Entergy Texas Bds 060164,EZT,25.37,"14,499",25.47,25.22
Enterprise Pdts Partners,EPD,24.48,"25,469,243",24.68,23.30
Entravision Commun,EVC,4.70,"3,039,518",4.70,4.40
Envestnet,ENV,57.30,"977,173",59.02,55.94
Envision Healthcare,EVHC,38.43,"10,261,823",39.23,37.43
Enviva Partners,EVA,27.40,"205,005",27.45,26.02
Enzo Biochem,ENZ,5.48,"1,220,528",5.79,5.35
EOG Resources,EOG,105.27,"18,857,485",107.91,103.26
EPAM Systems,EPAM,114.52,"1,520,491",117.95,110.09
EP Energy Cl A,EPE,1.34,"3,227,943",1.57,1.26
EPR Properties,EPR,55.40,"2,536,558",56.00,53.25
EPR Prop 5.75% Conv Pfd C,EPR.PC,24.31,"23,032",24.41,23.73
EPR Prop 5.75% Pfd. G,EPR.PG,22.56,"58,430",23.29,22.36
EPR Properties 9% Pfd E,EPR.PE,34.86,"26,655",35.29,33.65
EQT Corp,EQT,47.51,"10,353,425",49.10,46.57
EQT GP Holdings,EQGP,23.08,"548,555",23.35,21.43
EQT Midstream Partners,EQM,59.03,"1,515,666",59.58,55.40
Equifax,EFX,117.81,"4,012,243",121.76,115.85
Equity Commonwealth,EQC,30.67,"2,801,197",30.84,29.80
Equity Commonwealth Pfd D,EQC.PD,25.99,"19,100",26.10,25.86
Equity Lifestyle Prprts,ELS,87.77,"1,421,466",88.11,84.07
Equity Residential,EQR,61.62,"13,770,165",62.22,58.06
Equus Total Return,EQS,2.38,"16,132",2.40,2.31
Era Group,ERA,9.35,"264,580",9.62,8.98
Eros International,EROS,10.90,"1,260,133",12.60,10.85
ERShares Entrepreneur 30,ENTR,16.43,"9,226",16.75,15.79
ESCO Technologies,ESE,58.55,"277,359",59.50,57.15
Essent Group,ESNT,42.56,"2,772,958",43.53,41.23
Essex Property Trust,ESS,240.68,"1,350,693",242.64,230.06
Estee Lauder Cl A,EL,149.72,"7,607,057",150.40,145.15
Esterline Technologies,ESL,73.15,"813,483",74.55,72.20
ETF Exposure&Fincl;,TETF,20.56,"12,566",20.79,20.16
ETFMG Alt Harvest ETF,MJ,29.52,"1,573,608",31.19,28.47
ETFMG Drone Economy,IFLY,34.66,"35,978",35.08,34.25
ETFMG Prime Cyber Sec,HACK,34.27,"1,417,264",35.04,33.52
ETFMG Prime Jr Silver ETF,SILJ,10.61,"184,053",11.00,10.35
ETFMG Prime Mobile Pymt,IPAY,36.33,"349,006",36.79,35.50
ETFMG Video Game Tech ETF,GAMR,48.58,"69,779",49.65,47.78
ETFS Bloomberg All Cmdty,BCD,25.99,"1,423",26.19,25.99
ETFS Bloomberg All Comdty,BCI,24.34,"777,713",24.39,24.03
ETFS Bloomberg Energy,BEF,26.32,832,26.32,26.32
S Gold Tr,SGOL,128.31,"432,171",131.15,127.89
S Physical Palladium Shrs,PALL,90.53,"96,919",93.67,89.58
ETFS Physical Plat,PPLT,88.65,"95,788",91.13,88.27
ETFS Phyc Prec Metl Bskt,GLTR,64.28,"80,243",65.87,64.07
S Silver Tr,SIVR,15.94,"667,087",16.36,15.83
Ethan Allen,ETH,22.95,"854,463",23.38,22.15
Etho Climate Leadership,ETHO,34.30,"13,167",34.58,33.78
ETRACS Alerian MLP,AMU,15.08,"1,796,263",15.19,14.59
ETRACS Alerian MLP Infr,MLPB,20.87,"1,178",20.87,20.87
ETRACS Monthly Pay 2xLev,CEFL,15.95,"581,176",16.05,15.68
ETRACS Monthly Pay 2xLev,DVHL,18.06,"15,341",18.15,17.57
DJ 2xSelect Div ETN,DVYL,67.88,"8,176",67.88,64.77
ETRACS Mortgage REIT,MORL,15.22,"647,627",15.36,14.50
S&P; 2xDiv Aristo ETN,SDYL,78.84,"6,741",79.18,75.95
ETRACS 2xLev US Hi Div,HDLV,26.60,"10,250",26.60,25.10
ETRACS Monthly 2xLev xEn,LMLP,14.73,"60,132",15.03,14.56
ETRACS Monthly Pay 2xLev,MRRL,15.22,"20,963",15.30,14.55
ETRACS 2xLev MSCI US REIT,LRET,21.37,"37,011",21.59,20.08
ETRACS Monthly 2xLev ETN,SMHD,16.10,"173,671",16.28,15.24
ETRACS Monthly 2xL S&P500;,SPLX,52.57,720,52.57,51.41
ETRACS 2xM Lev Alern MLP,MLPQ,28.17,"444,279",28.51,25.63
ETRACS 2xM Lev S&P; MLP,MLPZ,32.60,809,32.89,31.68
E TRACS UBS BB CMCI,UCI,15.40,"64,793",15.40,15.24
E TRACS UBS BB CMCI Food,FUD,18.02,"4,854",18.23,17.80
E TRACS UBS BB CMCI Gold,UBG,34.40,293,34.40,34.40
E-TRACS CMCI Ind Mtls,UBM,17.07,100,...,...
ETRACS UBS BB CMCI Lvestk,UBC,18.34,100,...,...
E-TRACS UBS BB CMCI Sil,USV,21.02,"2,144",21.02,20.98
E-TRACS UBS Long Platinum,PTM,9.70,"6,415",9.93,9.70
ETRACS WF Bus Dev Co Indx,BDCZ,19.69,868,19.69,19.69
Euronav,EURN,8.20,"1,519,269",8.50,8.20
European Equity Fd,EEA,9.67,"44,378",9.74,9.56
Evercore Cl A,EVR,87.20,"3,547,152",87.70,82.90
Everest Re Group,RE,256.82,"1,091,597",259.65,248.77
Everi Holdings,EVRI,6.57,"4,164,810",6.92,6.45
Eversource Energy,ES,58.92,"7,956,225",59.39,56.90
Evertec,EVTC,16.35,"2,850,730",16.85,16.00
Evolent Health Cl A,EVH,14.25,"2,223,841",14.50,13.70
Evoqua Water Technologies,AQUA,21.29,"2,468,252",21.73,20.88
Exelon,EXC,39.01,"22,297,210",39.32,37.75
Express,EXPR,7.16,"8,799,684",7.45,6.99
Extended Stay America,STAY,19.77,"4,490,346",19.83,19.29
Exterran,EXTN,26.70,"678,522",28.45,26.58
Extra Space Storage,EXR,87.36,"4,899,355",87.80,82.87
ExxonMobil,XOM,74.61,"63,103,733",74.89,72.75
Fabrinet,FN,31.38,"1,753,242",32.97,29.91
FactSet Research Systems,FDS,199.42,"2,486,632",211.67,197.29
Fair Isaac,FICO,169.37,"792,635",171.78,164.37
Fairmount Santrol Hldgs,FMSA,4.25,"4,809,508",4.57,4.02
Fang Holdings ADR,SFUN,5.14,"7,957,014",5.17,4.41
Farmland Partners,FPI,8.35,"1,025,585",8.58,8.12
Farmland Ptrs Pfd. B,FPI.PB,24.94,"43,984",25.05,24.93
FB Financial,FBK,40.59,"288,568",41.38,39.51
FBL Financial Group,FFG,69.35,"225,966",71.65,67.25
FCB Financial Cl A,FCB,51.10,"1,181,783",52.70,50.10
Fed Agric Mortgage Pfd B,AGM.PB,25.99,"5,960",26.34,25.93
Fedl Ag Mtge Corp Cl A,AGM.A,81.19,"3,801",81.19,79.95
Fedl Ag Mtge Corp Cl C,AGM,87.02,"152,270",88.20,83.74
Fed Agric Mtg Pfd C,AGM.PC,26.92,163,26.92,26.92
Fed Agric 5.875% Pfd A,AGM.PA,24.96,"5,646",25.42,24.96
Federal Realty Invt Trust,FRT,116.11,"2,116,034",117.28,111.82
Fed Realty Inv Pfd. C,FRT.PC,22.79,"69,601",23.19,22.61
Federal Signal,FSS,22.02,"892,160",22.45,21.44
Federated Investors,FII,33.40,"3,186,544",33.72,32.35
Federated Premier,FMN,13.36,"121,141",13.45,13.32
FedEx,FDX,240.11,"8,353,997",242.58,231.52
Ferrari,RACE,120.52,"1,526,733",122.86,118.98
Ferrellgas,FGP,3.12,"1,510,105",3.19,2.87
Ferro Corp,FOE,23.22,"2,114,742",23.96,22.94
FGL Holdings,FG,10.15,"5,771,255",10.49,10.01
FGL Holdings Wt,FG.WS,1.82,"168,904",1.90,1.80
Fiat Chrysler Automobiles,FCAU,20.52,"21,182,883",20.98,19.88
Fibria Celulose ADR,FBR,19.50,"6,676,365",19.93,19.12
Fidelity Corporate Bd,FCOR,49.10,"45,591",49.25,48.90
Fidelity Div Rising Rates,FDRR,29.87,"200,483",30.04,29.33
Fidelity High Div ETF,FDVV,28.19,"90,475",28.31,27.79
Fidelity Intl Hi Div,FIDI,22.85,"46,390",23.00,22.61
Fidelity Intl Value,FIVA,23.59,"45,040",23.82,23.14
Fidelity Limited Term Bd,FLTB,49.53,"39,251",49.61,49.34
Fidelity Low Vol Factor,FDLO,30.15,"61,507",30.28,29.60
Fidelity Momentum Factor,FDMO,31.61,"69,172",32.19,30.98
Fidelity MSCI Cons Disc,FDIS,39.76,"366,295",40.63,38.95
Fidelity MSCI Con Staples,FSTA,31.72,"133,836",31.89,30.82
Fidelity MSCI Engy Index,FENY,18.70,"889,691",18.98,18.26
Fidelity MSCI Financials,FNCL,40.39,"1,279,650",40.77,39.40
Fidelity MSCI Hlth Care,FHLC,39.82,"337,298",40.09,39.05
Fidelity MSCI Industrials,FIDU,37.83,"635,894",38.25,37.02
Fidelity MSCI Info Tech,FTEC,51.87,"1,900,626",53.47,50.48
Fidelity MSCI Matls Index,FMAT,32.96,"312,273",33.30,32.25
Fidelity MSCI Real Est,FREL,22.88,"578,289",23.03,22.15
Fidelity MSCI Telecom Svs,FCOM,28.51,"131,302",28.83,28.18
Fidelity MSCI Utilities,FUTY,33.06,"277,695",33.18,32.13
Fidelity Ntl Financial,FNF,40.02,"5,387,736",41.18,39.69
Fidelity National,FIS,96.30,"6,110,285",97.21,93.95
Fidelity Quality Factor,FQAL,31.52,"40,717",31.68,30.99
Fidelity Total Bond ETF,FBND,49.14,"107,290",49.17,48.89
Fidelity Value Factor ETF,FVAL,32.08,"84,275",32.24,31.39
Fiduciary/Clymr Opp Fd,FMO,10.56,"924,113",10.85,10.27
FI Enhanced Europe 50 ETN,FIEU,127.25,"28,926",127.65,123.68
FI Enhanced Eur 50 ETN,FIEE,165.40,"33,256",165.98,158.60
58.com ADR,WUBA,79.86,"3,270,572",84.32,76.82
Finl Select Sector SPDR,XLF,27.57,"304,148,727",27.90,26.85
First Acceptance,FAC,.85,"261,505",.98,.83
First American Financial,FAF,58.68,"2,452,006",59.35,57.56
First BanCorp Puerto Rico,FBP,6.02,"6,712,285",6.07,5.82
FirstCash,FCFS,81.25,"1,429,290",82.10,79.00
First Commonwealth Fincl,FCF,14.13,"2,555,393",14.27,13.79
First Data Cl A,FDC,16.00,"30,481,065",16.22,15.64
FirstEnergy,FE,34.01,"31,880,394",35.03,33.53
First Horizon National,FHN,18.83,"10,763,177",18.98,18.20
First Horizon Dep. Pfd. A,FHN.PA,25.09,"10,977",25.14,25.02
First Ind Realty Trust,FR,29.23,"2,927,507",29.48,28.27
First Majestic Silver,AG,6.11,"10,918,893",6.49,5.97
First Republic Bank,FRC,92.61,"3,957,919",92.67,89.54
First Republic Dep Pfd E,FRC.PE,26.20,"44,436",26.20,25.90
First Rep Dep. Pfd. F,FRC.PF,25.77,"22,953",25.85,25.46
First Republic Bk Pfd G,FRC.PG,25.43,"20,986",25.51,25.23
First Rep Bk 5.125% Pfd H,FRC.PH,24.93,"84,145",24.98,24.73
First Republic Dep Pfd D,FRC.PD,25.50,"193,490",25.58,25.17
First Tr/Abrdn Emerg Opp,FEO,15.90,"68,437",16.22,15.69
First Tr/Abrdn Glbl Opp,FAM,11.39,"108,156",11.46,11.28
First Trust AU AlphaDEX,FAUS,31.68,933,31.68,31.68
FT Cnsmr Dsc AlphaDEX,FXD,41.03,"217,079",41.17,40.31
First Tr Cnsmr Staples,FXG,46.91,"114,594",47.10,45.75
First Tr DJ Globl Sel Dvd,FGD,25.60,"249,491",25.66,25.26
First Tr DJ Internet,FDN,120.50,"5,970,125",125.10,116.66
First Tr Dow 30 Equal Wt,EDOW,21.40,"1,161",21.40,21.28
First Trust Dynamic Eur,FDEU,17.98,"263,488",18.21,17.56
First Tr Energy AlphaDEX,FXN,14.37,"648,404",14.52,13.98
First Tr Engy Infr Fd,FIF,15.00,"402,117",15.18,14.57
FstTrEnhEqtIncFd,FFA,14.77,"365,857",14.86,14.39
First Tr DJ Sel MicroCap,FDM,47.31,"30,504",47.55,46.62
FT EqCompass Risk Mgr,ERM,21.64,"23,640",21.68,21.33
FT ETF EqCompass Tactical,TERM,21.65,"74,504",21.73,21.24
First Tr Finls AlphaDEX,FXO,31.04,"779,413",31.17,30.45
First Tr FTSE Dv Rl Est,FFR,43.59,"30,331",43.61,42.45
First Tr Gl Engg,FLM,56.84,"34,475",56.84,55.76
First Tr Gl Wind Energy,FAN,13.37,"142,794",13.41,13.19
First Tr Hlth Cr AlphaDEX,FXH,69.40,"249,180",70.23,68.42
FT Heitman Prime Real Est,PRME,19.71,"3,774",19.71,19.31
Fst Tr Hi Inc Lg/Shrt Fd,FSD,15.05,"580,236",15.11,14.98
FT Horizon Mgd Vol Dev,HDMV,34.24,"39,294",34.42,33.75
FT Horizon Mgd Vol Dom,HUSV,22.35,"146,373",22.47,22.00
First Tr Inds/Prdcer Dur,FXR,39.59,"534,980",39.89,38.72
First Tr Instl Pfd,FPEI,19.49,"207,731",19.61,19.49
FT Interm Duration Pfd,FPF,23.26,"592,335",23.28,22.80
First Tr ISE ChIndia,FNI,39.23,"195,476",40.04,38.36
First Trust L/S Equity,FTLS,38.91,"46,811",39.09,38.38
First Tr Matls AlphaDEX,FXZ,42.18,"444,507",42.47,41.22
First Tr MLP&Engy; Incm,FEI,12.25,"1,152,952",12.55,12.05
First Tr Mrngstr Div Ldrs,FDL,28.23,"605,203",28.29,27.54
First Trust Mgd Futures,FMF,47.53,"20,041",47.69,47.16
First Tr Mortgage Incm Fd,FMY,13.95,"21,976",13.95,13.85
First Tr Natural Gas ETF,FCG,20.50,"465,503",20.83,19.94
First Tr New Opps MLP,FPL,9.82,"686,489",10.13,9.61
FT NA Energy Infra,EMLP,21.90,"2,737,260",21.97,21.43
First Tr NYSE Arca BioTch,FBT,132.90,"348,927",137.28,130.75
First Tr Preferred Secs,FPE,19.46,"3,390,843",19.54,19.43
First Trust Sr FR Fd II,FCT,13.23,"342,014",13.25,12.82
FT Sr Floating Rate 2022,FIV,9.36,"332,395",9.43,9.35
Fst Tr Splty Fin,FGB,6.02,"110,688",6.03,5.75
First Tr S&P; REIT,FRI,21.30,"83,450",21.43,20.49
FirstTr STOXX Eur Sel Div,FDD,13.84,"576,928",13.92,13.54
First Tr Strat High Fd II,FHY,12.20,"93,613",12.27,12.11
First Tr Tech AlphaDEX,FXL,55.02,"586,218",57.13,53.72
First Tr US Equity Opps,FPX,68.55,"180,429",69.67,67.32
First Tr Util AlphaDEX,FXU,25.36,"260,665",25.42,24.65
First Tr Val Line Div,FVD,29.89,"1,805,442",30.00,29.19
First Tr Val Line (R) 100,FVL,23.38,"12,234",23.55,23.01
First Trust Water ETF,FIW,47.75,"71,172",47.90,46.82
Fitbit,FIT,5.10,"15,164,603",5.18,4.86
500.com ADR,WBAI,17.16,"982,025",17.81,16.08
Five Oaks Investment,OAKS,2.91,"893,547",3.03,2.82
Five Oaks Pfd. Series A,OAKS.PA,25.03,"5,991",25.04,24.93
Five Point Holdings,FPH,14.26,"587,762",14.74,14.21
Flagstar Bancorp,FBC,35.40,"1,100,982",36.18,35.12
Flaherty&Crumrine; Dyn,DFP,24.17,"245,449",24.25,23.84
Flaherty&Crumrine;,PFD,13.59,"148,870",13.66,13.44
Flaherty&Crumrine; Pfd,PFO,10.86,"176,747",10.88,10.68
Flaherty&Crumrine; Pfd,FFC,19.00,"645,588",19.04,18.47
Flaherty&Crumrine; TR Fd,FLC,19.81,"133,764",19.81,19.31
FleetCor Technologies,FLT,202.50,"1,902,125",203.90,194.17
FlexShares Core Sel Bd Fd,BNDC,24.67,"19,037",24.67,24.40
FlexShares Curr Hdg DM,TLDH,27.76,"19,532",27.76,27.03
FlexShares Curr Hdg EM,TLEH,31.09,"33,551",31.18,29.89
Flex Gl Quality Real Est,GQRE,60.45,"26,171",60.67,58.78
Flex Glbl Upstrm Nat Rscs,GUNR,32.58,"1,620,882",32.80,31.97
FlexShares iBoxx 5Y TIPS,TDTF,24.73,"299,924",24.79,24.65
Flex iBx 3Y Dur TIPS,TDTT,24.39,"538,966",24.42,24.29
FlexShares Intl Qual Div,IQDE,25.21,"17,128",25.23,24.82
FlexShares Dividend Dyn,IQDY,28.19,"15,237",28.23,27.74
FlexShares Intl Quality,IQDF,26.34,"422,493",26.41,25.97
FlexMDevexUSFacTilt,TLTD,67.75,"74,848",67.88,66.58
FlexShares Emg Mkrs Fact,TLTE,60.89,"81,878",60.99,59.44
Flex Mrn US Mkt Ftr Tilt,TILT,109.72,"46,930",110.41,107.87
Flex Qlty Div Defensive,QDEF,42.93,"41,348",43.01,42.15
Flex Quality Div Dynamic,QDYN,42.40,"10,596",42.42,41.82
FlexShs Quality Dividend,QDF,43.73,"345,839",43.91,42.84
FlexShares Ready Access,RAVI,75.32,"66,699",75.40,75.20
FlexShares STOXX Gl Broad,NFRA,46.14,"113,460",46.25,45.12
Floor&Decor; Cl A,FND,52.12,"3,158,515",52.32,49.42
Flotek Industries,FTK,6.10,"2,471,133",6.42,6.01
Flowers Foods,FLO,21.86,"4,025,121",21.95,20.85
Flowserve Corp,FLS,43.33,"5,295,503",43.53,41.51
Fluor,FLR,57.22,"3,650,624",57.58,54.96
Fly Leasing ADR,FLY,13.31,"212,213",13.47,13.16
FMC,FMC,76.57,"7,314,078",77.30,72.73
FNB Corp,FNB,13.45,"10,482,648",13.50,13.10
F.N.B. Pfd E,FNB.PE,28.82,"17,364",29.04,28.45
Fomento Econ Mexicano ADR,FMX,91.43,"1,685,845",91.98,86.12
Foot Locker,FL,45.54,"9,854,561",45.81,43.60
Ford Motor,F,11.08,"174,252,801",11.13,10.68
Foresight Energy,FELP,3.52,"139,291",3.75,3.38
Forestar Group,FOR,21.15,"294,356",22.30,21.15
Forest City Realty Tr A,FCE.A,20.26,"11,232,385",20.40,19.81
Fortis,FTS,33.77,"1,472,862",33.94,33.17
Fortive,FTV,77.52,"6,388,031",78.47,75.78
Fortress Transportation,FTAI,15.95,"682,149",16.15,15.55
Fortuna Silver Mines,FSM,5.21,"4,450,482",5.30,5.06
FortuneBrandsHome&Sec;,FBHS,58.89,"6,638,395",59.49,58.01
Forum Energy Technologies,FET,11.00,"3,831,026",11.55,10.40
Foundation Building Matls,FBM,14.91,"593,444",15.01,14.58
Four Corners Property Tr,FCPT,23.09,"1,579,563",23.42,21.96
Four Seasons Educ ADR,FEDU,6.63,"257,409",7.21,6.15
Franco-Nevada,FNV,68.39,"3,127,551",70.84,66.19
Franklin Covey,FC,26.90,"247,347",27.85,26.35
Franklin Finl Network,FSB,32.60,"460,807",33.55,31.75
Franklin FTSE Asia xJapan,FLAX,24.12,"1,348",24.12,24.05
Franklin FTSE Australia,FLAU,24.92,"3,755",24.99,24.76
Franklin FTSE Brazil ETF,FLBR,28.14,"36,753",28.16,27.06
Franklin FTSE Canada ETF,FLCA,23.82,"2,384",23.82,23.47
Franklin FTSE China ETF,FLCH,26.47,"13,775",26.98,25.87
Franklin FTSE Europe ETF,FLEE,25.12,"19,635",25.12,24.61
Franklin FTSE Germany ETF,FLGR,24.67,"1,420",24.67,24.20
Franklin FTSE Hong Kong,FLHK,26.68,290,26.68,26.68
Franklin FTSE India,FLIN,23.15,"2,424",23.16,22.82
Franklin FTSE Italy ETF,FLIY,25.81,"3,400",25.93,25.81
Franklin FTSE Japan ETF,FLJP,26.87,"14,350",26.88,25.99
Franklin FTSE Japan Hdg,FLJH,24.84,"1,234",24.84,24.12
Franklin FTSE South Korea,FLKR,26.44,"4,015",26.46,25.55
Franklin FTSE Switzerland,FLSW,23.07,322,23.07,23.07
Franklin FTSE UK,FLGB,25.35,"19,240",25.41,24.93
Franklin Liberty Invt Grd,FLCO,23.92,"9,352",23.92,23.83
Franklin LibertyQ EM,FLQE,33.77,"53,727",33.77,33.14
Franklin LibertyQ Gl Div,FLQD,28.38,"7,277",28.38,28.02
Franklin Lib Glbl Equity,FLQG,30.04,"1,796",30.04,29.90
Franklin Lib Intl Equity,FLQH,24.30,"9,140",24.36,23.58
Franklin Short Dur US,FTSD,95.24,"101,784",95.61,95.18
Franklin Lib US Low Vol,FLLV,30.05,500,...,...
Franklin Resources,BEN,34.68,"20,299,350",38.46,33.58
Franklin Universal Trust,FT,6.76,"302,600",6.80,6.70
Frank's International,FI,5.43,"4,183,465",5.90,5.36
Freeport-McMoRan,FCX,17.57,"63,173,236",17.87,16.51
Fresenius Medical ADR,FMS,51.08,"522,553",51.28,49.29
Fresh Del Monte Produce,FDP,45.24,"682,024",45.93,44.23
Frontline,FRO,4.43,"1,927,440",4.68,4.38
Front Yard Residential,RESI,10.05,"2,068,318",10.22,9.56
